Vehiculo;Etiqueta;Matricula;TipoVehiculo;TipoServicio;Sintetizador SIRCI;NivelEmision ;Marca;Accesible;Operador;Modelo;Zona;Concesion
6001;B0001;SIS805;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2004;SUR;AUTOPISTA SUR T2
6002;B0002;SIS806;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2004;SUR;AUTOPISTA SUR T2
6003;B0003;SIS807;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2004;SUR;AUTOPISTA SUR T2
6004;B0004;SIS808;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2004;SUR;AUTOPISTA SUR T2
6005;B0005;SIS809;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2004;SUR;AUTOPISTA SUR T2
6006;B0006;SIS810;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2004;SUR;AUTOPISTA SUR T2
6007;B0007;SIS811;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2004;SUR;AUTOPISTA SUR T2
6008;B0008;SIS812;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2004;SUR;AUTOPISTA SUR T2
6009;B0009;SIS813;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2004;SUR;AUTOPISTA SUR T2
6010;B0010;SIS814;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2004;SUR;AUTOPISTA SUR T2
6011;B0011;VDA190;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2004;SUR;AUTOPISTA SUR T2
6012;B0012;VDA189;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2004;SUR;AUTOPISTA SUR T2
6013;B0013;VDA188;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2004;SUR;AUTOPISTA SUR T2
6014;B0014;VDA191;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2004;SUR;AUTOPISTA SUR T2
6015;B0015;VDC699;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2004;SUR;AUTOPISTA SUR T2
6016;B0016;VDC710;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2004;SUR;AUTOPISTA SUR T2
6017;B0017;VDC711;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2004;SUR;AUTOPISTA SUR T2
6018;B0018;VDC709;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2004;SUR;AUTOPISTA SUR T2
6019;B0019;VDC708;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2004;SUR;AUTOPISTA SUR T2
6020;B0020;VDC707;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2004;SUR;AUTOPISTA SUR T2
6021;B0021;VDC706;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2004;SUR;AUTOPISTA SUR T2
6022;B0022;VDC705;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2004;SUR;AUTOPISTA SUR T2
6023;B0023;VDC704;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2004;SUR;AUTOPISTA SUR T2
6024;B0024;VDC703;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2004;SUR;AUTOPISTA SUR T2
6025;B0025;VDC702;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2004;SUR;AUTOPISTA SUR T2
6026;B0026;VDC701;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2004;SUR;AUTOPISTA SUR T2
6027;B0027;VDC700;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2004;SUR;AUTOPISTA SUR T2
6028;B0028;VDH424;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2005;SUR;AUTOPISTA SUR T2
6029;B0029;VDH425;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2005;SUR;AUTOPISTA SUR T2
6030;B0030;VDH426;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2005;SUR;AUTOPISTA SUR T2
6031;B0031;VDH427;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2005;SUR;AUTOPISTA SUR T2
6032;B0032;VDH428;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2005;SUR;AUTOPISTA SUR T2
6033;B0033;VDH429;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2005;SUR;AUTOPISTA SUR T2
6034;B0034;VDM516;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2005;SUR;AUTOPISTA SUR T2
6035;B0035;VDM517;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2005;SUR;AUTOPISTA SUR T2
6036;B0036;VDM518;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2005;SUR;AUTOPISTA SUR T2
6037;B0037;VDM519;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2005;SUR;AUTOPISTA SUR T2
6038;B0038;VDM520;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2005;SUR;AUTOPISTA SUR T2
6039;B0039;VDM521;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2005;SUR;AUTOPISTA SUR T2
6040;B0040;VDP529;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2005;SUR;AUTOPISTA SUR T2
6041;B0041;VDP530;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2005;SUR;AUTOPISTA SUR T2
6042;B0042;VDP531;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2005;SUR;AUTOPISTA SUR T2
6043;B0043;VDP532;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2005;SUR;AUTOPISTA SUR T2
6044;B0044;VDP533;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2005;SUR;AUTOPISTA SUR T2
6045;B0045;VDR824;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2006;SUR;AUTOPISTA SUR T2
6046;B0046;VDS931;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2006;SUR;AUTOPISTA SUR T2
6047;B0047;VDS932;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2006;SUR;AUTOPISTA SUR T2
6048;B0048;VDS933;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2006;SUR;AUTOPISTA SUR T2
6049;B0049;VDS934;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2006;SUR;AUTOPISTA SUR T2
6050;B0050;VDS935;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2006;SUR;AUTOPISTA SUR T2
6051;B0051;VDT211;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2006;SUR;AUTOPISTA SUR T2
6052;B0052;VDT212;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2006;SUR;AUTOPISTA SUR T2
6053;B0053;VDT213;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2006;SUR;AUTOPISTA SUR T2
6054;B0054;VDT214;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2006;SUR;AUTOPISTA SUR T2
6055;B0055;VDT215;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2006;SUR;AUTOPISTA SUR T2
6056;B0056;VDT216;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2006;SUR;AUTOPISTA SUR T2
6057;B0057;VDT217;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2006;SUR;AUTOPISTA SUR T2
6058;B0058;VDT218;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2006;SUR;AUTOPISTA SUR T2
6059;B0059;VDT219;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2006;SUR;AUTOPISTA SUR T2
6060;B0060;VDT220;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2006;SUR;AUTOPISTA SUR T2
6061;B0061;VDT221;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2006;SUR;AUTOPISTA SUR T2
6062;B0062;VDT222;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2006;SUR;AUTOPISTA SUR T2
6063;B0063;VDT223;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2006;SUR;AUTOPISTA SUR T2
6064;B0064;VDT224;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2006;SUR;AUTOPISTA SUR T2
6065;B0065;VDT225;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2006;SUR;AUTOPISTA SUR T2
6066;B0066;VDT227;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2006;SUR;AUTOPISTA SUR T2
6067;B0067;VDT228;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2006;SUR;AUTOPISTA SUR T2
6068;B0068;VDV350;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2006;SUR;AUTOPISTA SUR T2
6069;B0069;VDV351;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2006;SUR;AUTOPISTA SUR T2
6070;B0070;VDV352;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2006;SUR;AUTOPISTA SUR T2
6071;B0071;VDV353;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2006;SUR;AUTOPISTA SUR T2
6072;B0072;VDV354;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2006;SUR;AUTOPISTA SUR T2
6073;B0073;VDV355;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2006;SUR;AUTOPISTA SUR T2
6074;B0074;VDV356;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2006;SUR;AUTOPISTA SUR T2
6075;B0075;VDV997;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2006;SUR;AUTOPISTA SUR T2
6076;B0076;VDV998;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2006;SUR;AUTOPISTA SUR T2
6077;B0077;VDX969;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2006;SUR;AUTOPISTA SUR T2
6078;B0078;VDX970;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2006;SUR;AUTOPISTA SUR T2
6079;B0079;VDX971;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2006;SUR;AUTOPISTA SUR T2
6080;B0080;VDX972;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2006;SUR;AUTOPISTA SUR T2
6081;B0081;VDX973;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2006;SUR;AUTOPISTA SUR T2
6082;B0082;VDX974;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2006;SUR;AUTOPISTA SUR T2
6083;B0083;VDX975;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2006;SUR;AUTOPISTA SUR T2
6084;B0084;VDX976;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2006;SUR;AUTOPISTA SUR T2
6085;B0085;VDX977;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2006;SUR;AUTOPISTA SUR T2
6087;B0087;VDX979;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2006;SUR;AUTOPISTA SUR T2
6088;B0088;VDX980;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2006;SUR;AUTOPISTA SUR T2
6089;B0089;VDX981;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2006;SUR;AUTOPISTA SUR T2
6090;B0090;VDX982;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2006;SUR;AUTOPISTA SUR T2
6091;B0091;VDX983;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2006;SUR;AUTOPISTA SUR T2
6092;B0092;VDX984;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2006;SUR;AUTOPISTA SUR T2
6093;B0093;VDX985;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2006;SUR;AUTOPISTA SUR T2
6094;B0094;VDX986;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2006;SUR;AUTOPISTA SUR T2
6095;B0095;VDX987;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2006;SUR;AUTOPISTA SUR T2
6096;B0096;VDX988;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2006;SUR;AUTOPISTA SUR T2
6097;B0097;VDX989;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2006;SUR;AUTOPISTA SUR T2
6098;B0098;VDX990;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2006;SUR;AUTOPISTA SUR T2
6099;B0099;VDX991;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2006;SUR;AUTOPISTA SUR T2
6100;B0100;VDX992;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2006;SUR;AUTOPISTA SUR T2
6101;B0101;VDX993;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2006;SUR;AUTOPISTA SUR T2
6102;B0102;VDV904;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2006;SUR;AUTOPISTA SUR T2
6103;B0103;VDV905;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2006;SUR;AUTOPISTA SUR T2
6104;B0104;VDV906;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2006;SUR;AUTOPISTA SUR T2
6105;B0105;VEB216;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2006;SUR;AUTOPISTA SUR T2
6106;B0106;VEB217;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2006;SUR;AUTOPISTA SUR T2
6107;B0107;VEB218;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2006;SUR;AUTOPISTA SUR T2
6108;B0108;VEB219;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2005;SUR;AUTOPISTA SUR T2
6109;B0109;VEB220;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2005;SUR;AUTOPISTA SUR T2
6110;B0110;VEB221;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2005;SUR;AUTOPISTA SUR T2
6111;B0111;VEF600;ARTICULADO;TRONCAL;SI;EURO III;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2007;SUR;AUTOPISTA SUR T2
6112;B0112;VEF601;ARTICULADO;TRONCAL;SI;EURO III;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2007;SUR;AUTOPISTA SUR T2
6113;B0113;VEF602;ARTICULADO;TRONCAL;SI;EURO III;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2007;SUR;AUTOPISTA SUR T2
6114;B0114;VEF603;ARTICULADO;TRONCAL;SI;EURO III;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2007;SUR;AUTOPISTA SUR T2
6115;B0115;VEF604;ARTICULADO;TRONCAL;SI;EURO III;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2007;SUR;AUTOPISTA SUR T2
6116;B0116;VEF605;ARTICULADO;TRONCAL;SI;EURO III;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2007;SUR;AUTOPISTA SUR T2
6117;B0117;VEF606;ARTICULADO;TRONCAL;SI;EURO III;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2007;SUR;AUTOPISTA SUR T2
6118;B0118;VEF607;ARTICULADO;TRONCAL;SI;EURO III;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2007;SUR;AUTOPISTA SUR T2
6119;B0119;VEF608;ARTICULADO;TRONCAL;SI;EURO III;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2007;SUR;AUTOPISTA SUR T2
6120;B0120;VEF609;ARTICULADO;TRONCAL;SI;EURO III;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2007;SUR;AUTOPISTA SUR T2
6121;B0121;VEF610;ARTICULADO;TRONCAL;SI;EURO III;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2007;SUR;AUTOPISTA SUR T2
6122;B0122;VEF611;ARTICULADO;TRONCAL;SI;EURO III;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2007;SUR;AUTOPISTA SUR T2
6123;B0123;VEF612;ARTICULADO;TRONCAL;SI;EURO III;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2006;SUR;AUTOPISTA SUR T2
6124;B0124;VEG027;ARTICULADO;TRONCAL;SI;EURO III;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2007;SUR;AUTOPISTA SUR T2
6125;B0125;VEG028;ARTICULADO;TRONCAL;SI;EURO III;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2007;SUR;AUTOPISTA SUR T2
6126;B0126;VEG029;ARTICULADO;TRONCAL;SI;EURO III;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2007;SUR;AUTOPISTA SUR T2
6127;B0127;VEG030;ARTICULADO;TRONCAL;SI;EURO III;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2007;SUR;AUTOPISTA SUR T2
6128;B0128;VEG031;ARTICULADO;TRONCAL;SI;EURO III;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2007;SUR;AUTOPISTA SUR T2
6129;B0129;VEG032;ARTICULADO;TRONCAL;SI;EURO III;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2007;SUR;AUTOPISTA SUR T2
6130;B0130;VEG033;ARTICULADO;TRONCAL;SI;EURO III;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2007;SUR;AUTOPISTA SUR T2
6131;B0131;VEG034;ARTICULADO;TRONCAL;SI;EURO III;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2007;SUR;AUTOPISTA SUR T2
6132;B0132;VEG035;ARTICULADO;TRONCAL;SI;EURO III;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2007;SUR;AUTOPISTA SUR T2
6133;B0133;VEG036;ARTICULADO;TRONCAL;SI;EURO III;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2007;SUR;AUTOPISTA SUR T2
6134;B0134;VEG037;ARTICULADO;TRONCAL;SI;EURO III;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2007;SUR;AUTOPISTA SUR T2
6135;B0135;VEG038;ARTICULADO;TRONCAL;SI;EURO III;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2007;SUR;AUTOPISTA SUR T2
6136;B0136;VEG039;ARTICULADO;TRONCAL;SI;EURO III;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2007;SUR;AUTOPISTA SUR T2
6137;B0137;VEG040;ARTICULADO;TRONCAL;SI;EURO III;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2007;SUR;AUTOPISTA SUR T2
6138;B0138;VEG041;ARTICULADO;TRONCAL;SI;EURO III;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2007;SUR;AUTOPISTA SUR T2
6139;B0139;VEG042;ARTICULADO;TRONCAL;SI;EURO III;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2007;SUR;AUTOPISTA SUR T2
6140;B0140;VEG043;ARTICULADO;TRONCAL;SI;EURO III;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2007;SUR;AUTOPISTA SUR T2
6141;B0141;VEG044;ARTICULADO;TRONCAL;SI;EURO III;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2007;SUR;AUTOPISTA SUR T2
6142;B0142;VEG045;ARTICULADO;TRONCAL;SI;EURO III;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2007;SUR;AUTOPISTA SUR T2
6143;B0143;VEG046;ARTICULADO;TRONCAL;SI;EURO III;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2007;SUR;AUTOPISTA SUR T2
6144;B0144;VEG047;ARTICULADO;TRONCAL;SI;EURO III;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2007;SUR;AUTOPISTA SUR T2
6145;B0145;VEG048;ARTICULADO;TRONCAL;SI;EURO III;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2007;SUR;AUTOPISTA SUR T2
6146;B0146;VEG395;ARTICULADO;TRONCAL;SI;EURO III;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2006;SUR;AUTOPISTA SUR T2
6147;B0147;SMY158;ARTICULADO;TRONCAL;SI;EURO IV;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2011;SUR;AUTOPISTA SUR T2
6148;B0148;SMY159;ARTICULADO;TRONCAL;SI;EURO IV;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2011;SUR;AUTOPISTA SUR T2
6149;B0149;SMY160;ARTICULADO;TRONCAL;SI;EURO IV;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2011;SUR;AUTOPISTA SUR T2
6150;B0150;SMY161;ARTICULADO;TRONCAL;SI;EURO IV;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2011;SUR;AUTOPISTA SUR T2
6151;B0151;SMY162;ARTICULADO;TRONCAL;SI;EURO IV;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2011;SUR;AUTOPISTA SUR T2
6152;B0152;SMY163;ARTICULADO;TRONCAL;SI;EURO IV;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2011;SUR;AUTOPISTA SUR T2
6153;B0153;TEP066;ARTICULADO;TRONCAL;SI;EURO IV;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2011;SUR;AUTOPISTA SUR T2
6154;B0154;WDG596;ARTICULADO;TRONCAL;SI;EURO V;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2014;SUR;AUTOPISTA SUR T2
6155;B0155;WDG595;ARTICULADO;TRONCAL;SI;EURO V;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2014;SUR;AUTOPISTA SUR T2
